sku,family,M,N,K,dtype,median_s,iqr_s,n_iters
v5e,ridge_band,4648,4648,912,bf16,0.0003571150000425405,2.5849997200566577e-06,20
v5e,ridge_band,4744,4744,776,bf16,0.0003446099999564467,1.6750002487242455e-06,20
v5e,ridge_band,4872,4872,976,bf16,0.0003824549999080773,1.404999920850969e-06,20
v5e,skinny,1,4096,4096,bf16,0.0001584499998443789,2.7650003175949678e-06,20
v5e,skinny,1,8192,4096,bf16,0.00020285499999772583,5.37750008788862e-06,20
v5e,skinny,1,11008,4096,bf16,0.0002400509999915812,4.09749975460727e-06,20
v5e,skinny,1,16384,8192,bf16,0.0004699050000454008,2.4225003016908886e-06,20
v5e,skinny,1,16384,16384,bf16,0.0008271650001461239,1.589999897078087e-06,20
v5e,skinny,8,4096,4096,bf16,0.00012409500004650909,1.7324996406387072e-06,20
v5e,skinny,8,8192,4096,bf16,0.0001343100002486608,1.6322500187015976e-06,20
v5e,skinny,8,11008,4096,bf16,0.0001287949999095872,3.4700002515819506e-06,20
v5e,skinny,8,16384,8192,bf16,0.0004703000001882174,2.8699997756120865e-06,20
v5e,skinny,8,16384,16384,bf16,0.0008287144999030716,4.6889999794075266e-06,20
v5e,skinny,16,4096,4096,bf16,0.00011873000016748847,2.6174999447903247e-06,20
v5e,skinny,16,8192,4096,bf16,0.00013019549987802748,2.840000206560944e-06,20
v5e,skinny,16,11008,4096,bf16,0.00012473999981921224,2.60250033079501e-06,20
v5e,skinny,16,16384,8192,bf16,0.00046839499987072486,1.7924998019225313e-06,20
v5e,skinny,16,16384,16384,bf16,0.0008280399999875954,3.224999886697333e-06,20
v5e,skinny,32,4096,4096,bf16,0.00011957499987147457,2.4249999341918738e-06,20
v5e,skinny,32,8192,4096,bf16,0.00013296499992065947,2.0050001694471575e-06,20
v5e,skinny,32,11008,4096,bf16,0.0001284049999412673,3.224999773010495e-06,20
v5e,skinny,32,16384,8192,bf16,0.00046917999998186133,3.6349997571960557e-06,20
v5e,skinny,32,16384,16384,bf16,0.0008294000001569657,1.9225002461098484e-06,20
v5e,skinny,64,4096,4096,bf16,0.00012277499990887009,2.813250034705561e-06,20
v5e,skinny,64,8192,4096,bf16,0.0001329599997461628,2.73000023298664e-06,20
v5e,skinny,64,11008,4096,bf16,0.00014162449974719493,1.6707498389223474e-06,20
v5e,skinny,64,16384,8192,bf16,0.0004745050000565243,2.7499997941049514e-06,20
v5e,skinny,64,16384,16384,bf16,0.0008300100002998079,3.475749736026046e-06,20
v5e,skinny,128,4096,4096,bf16,0.0001322709999840299,2.0324998786236392e-06,20
v5e,skinny,128,8192,4096,bf16,0.00015509499985455477,2.735000066422799e-06,20
v5e,skinny,128,11008,4096,bf16,0.00017386499985150294,2.2675000082017505e-06,20
v5e,skinny,128,16384,8192,bf16,0.00048276500001520617,4.155750048084883e-06,20
v5e,skinny,128,16384,16384,bf16,0.0008394144999783748,1.9814999632217223e-06,20
v5e,skinny,4096,1,4096,bf16,0.00015329499979088723,2.897499939535919e-06,20
v5e,skinny,4096,1,8192,bf16,0.00020140500009802054,5.382500489758968e-06,20
v5e,skinny,4096,8,4096,bf16,0.00012010499972348043,3.890000243700342e-06,20
v5e,skinny,4096,8,8192,bf16,0.00013255000021672458,3.714999934345542e-06,20
v5e,skinny,4096,16,4096,bf16,0.00012023500016766775,1.662499926169403e-06,20
v5e,skinny,4096,16,8192,bf16,0.00014011450025464,3.274999926361488e-06,20
v5e,skinny,4096,32,4096,bf16,0.0001258049999250943,4.072500246365962e-06,20
v5e,skinny,4096,32,8192,bf16,0.00013793000016448786,2.562249846960185e-06,20
v5e,skinny,4096,64,4096,bf16,0.00012612499995157123,3.172499873471679e-06,20
v5e,skinny,4096,64,8192,bf16,0.00013799450016449555,1.4550003015756374e-06,20
v5e,skinny,4096,128,4096,bf16,0.00013873500006411632,5.414999918684771e-06,20
v5e,skinny,4096,128,8192,bf16,0.00016070499987108633,3.78749984975002e-06,20
v5e,skinny,4096,4096,1,bf16,0.00021868549993087072,7.909999908406462e-06,20
v5e,skinny,4096,4096,8,bf16,0.00022025999987818068,4.969999849890883e-06,20
v5e,skinny,4096,4096,16,bf16,0.0002207904999522725,4.508499955591105e-06,20
v5e,skinny,4096,4096,32,bf16,0.00021790999994664162,6.492500006061164e-06,20
v5e,skinny,4096,4096,64,bf16,0.00021984999989399512,3.672500156426395e-06,20
v5e,skinny,4096,4096,128,bf16,0.00021964999996271217,4.897500048173242e-06,20
v5e,skinny,4096,8192,1,bf16,0.0003200350001861807,3.2974999157886487e-06,20
v5e,skinny,4096,8192,8,bf16,0.00029983499985064554,5.090000286145369e-06,20
v5e,skinny,4096,8192,16,bf16,0.00029953500029478164,3.0550002065865556e-06,20
